CB35039;|MOSHI - PROGEO Adaptador Mac 65W|;79;;;11;https://tienda.bananacomputer.com/accesorios/mac/carga-bases-cables/adaptadores-y-conectores-usb-c/moshi-progeo-adaptador-mac-65w/;si;89.9
CB35737;|Adaptador Aiino USB-C a (HDMI / USB-A / VGA / USB-C) - Gris Espacial|;;;;26;https://tienda.bananacomputer.com/accesorios/mac/carga-bases-cables/hub-usb-c/adaptador-aiino-usb-c-a-hdmi-usb-a-vga-usb-c-gris-espacial/;no;59.9
CB35710;|Peana MB Twelve South Curve - Blanco|;;;;2;https://tienda.bananacomputer.com/accesorios/mac/carga-bases-cables/peanas/peana-mb-twelve-south-curve-blanco/;no;54.9
CB35705;|Hub USB-C Satechi Multipuerto (USB-C / VGA / HDMI / Ethernet / Micro-SD / 2x USB-A)|;;;;12;https://tienda.bananacomputer.com/accesorios/mac/carga-bases-cables/hub-usb-c/hub-usb-c-satechi-multipuerto-usb-c-vga-hdmi-ethernet-micro-sd-2x-usb-a/;no;99.9
CB35708;|Peana MB / iPad Twelve South Parcslope II - Negro|;;;;4;https://tienda.bananacomputer.com/accesorios/mac/carga-bases-cables/peanas/peana-mb-ipad-twelve-south-parcslope-ii-negro/;no;54.9
CB35849;|Peana + Hub USB-C Monitor / iMac (1x HDMI / Audio jack 3,5mm / 3x USB-A / 1x USB-C) Satechi|;;;;10;https://tienda.bananacomputer.com/accesorios/mac/carga-bases-cables/peanas/peana-hub-usb-c-monitor-imac-1x-hdmi-audio-jack-35mm-3x-usb-a-1x-usb-c-satechi/;no;89.9
CB34808;|Adaptador de Corriente Apple 35W (x2 USB-C)|;;;;9;https://tienda.bananacomputer.com/accesorios/mac/carga-bases-cables/1adaptadores-conectores/adaptadores/adaptador-de-corriente-apple-35w-x2-usb-c/;no;65
CB22356;|SanDisk UltraFit USB 3.0 Flash Drive 64GB|;12;Accesorios;;1;https://tienda.bananacomputer.com/accesorios/sandisk-ultrafit-usb-30-flash-drive-64gb/;si;35.9
CB32504;|Apple AirTag 1 unidad|;;|Accesorios : AirTags|;;30;https://tienda.bananacomputer.com/accesorios/airtags/apple-airtag-1-unidad/;no;39
CB32505;|Apple AirTag Paquete de 4 Unidades|;;|Accesorios : AirTags|;;33;https://tienda.bananacomputer.com/accesorios/airtags/apple-airtag-paquete-de-4-unidades/;no;129
CB35721;|Correa Airtag Curve Peach de Native Union|;12;|Accesorios : AirTags|;;5;https://tienda.bananacomputer.com/accesorios/airtags/correa-airtag-curve-peach-de-native-union/;si;14.9
CB35698;|Correa Airtag para Gafas Nomad - Negro|;;|Accesorios : AirTags|;;4;https://tienda.bananacomputer.com/accesorios/airtags/correa-airtag-para-gafas-nomad-negro/;no;34.9
CB35714;|llavero airtag nomad negro |;38;|Accesorios : AirTags : DIspositivos AirTag|;;6;https://tienda.bananacomputer.com/accesorios/airtags/dispositivos-airtag/llavero-airtag-nomad-negro/;si;44.9
CB36237;|Llavero AirTag aiino GiGiTag - Twilight Blue|;;|Accesorios : AirTags : DIspositivos AirTag|;;12;https://tienda.bananacomputer.com/accesorios/airtags/dispositivos-airtag/llavero-airtag-aiino-gigitag-twilight-blue/;no;12.9
CB36238;|Llavero AirTag aiino GiGiTag - Sunset Orange|;;|Accesorios : AirTags : DIspositivos AirTag|;;15;https://tienda.bananacomputer.com/accesorios/airtags/dispositivos-airtag/llavero-airtag-aiino-gigitag-sunset-orange/;no;12.9
CB36239;|Llavero AirTag aiino GiGiTag - Twister Purple|;;|Accesorios : AirTags : DIspositivos AirTag|;;10;https://tienda.bananacomputer.com/accesorios/airtags/dispositivos-airtag/llavero-airtag-aiino-gigitag-twister-purple/;no;12.9
CB27617;|Enchufe inteligente con 2 puertos de carga USB|;;|Accesorios : Domótica : Enchufes|;;4;https://tienda.bananacomputer.com/accesorios/domotica/enchufes/enchufe-inteligente-con-2-puertos-de-carga-usb/;no;39.9
CB35511;|Regleta enchufes (x4). 4 USB-A Meross|;;|Accesorios : Domótica : Enchufes|;;8;https://tienda.bananacomputer.com/accesorios/domotica/enchufes/regleta-enchufes-x4-4-usb-a-meross/;no;59.9
CB32197;|Lampara recargable Lexon Mina mini Led - Dark Blue|;15;|Accesorios : Domótica : Iluminación|;;1;https://tienda.bananacomputer.com/accesorios/domotica/iluminacion/lampara-recargable-lexon-mina-mini-led-dark-blue/;si;29.9
CB29773;|Bombilla VOCOlinc L3 LED Smart Bulb|;22.9;|Accesorios : Domótica : Iluminación|;;13;https://tienda.bananacomputer.com/accesorios/domotica/iluminacion/bombilla-vocolinc-l3-led-smart-bulb/;si;29.9
CB35512;|Tira LED -Smart WiFi Meross - 5 metros|;;|Accesorios : Domótica : Iluminación|;;9;https://tienda.bananacomputer.com/accesorios/domotica/iluminacion/tira-led-smart-wifi-meross-5-metros/;no;49.9
CB35741;|Tira LED Multicolor Twinkly Line (1M)|;;|Accesorios : Domótica : Iluminación|;;3;https://tienda.bananacomputer.com/accesorios/domotica/iluminacion/tira-led-multicolor-twinkly-line-1m/;no;89.9
CB35738;|Bombilla Meross Vintage Smart LED|;17;|Accesorios : Domótica : Iluminación|;;15;https://tienda.bananacomputer.com/accesorios/domotica/iluminacion/bombilla-meross-vintage-smart-led/;si;19.9
CB35742;|Tira 100 LED Multicolor Twinkly|;;|Accesorios : Domótica : Iluminación|;;4;https://tienda.bananacomputer.com/accesorios/domotica/iluminacion/tira-100-led-multicolor-twinkly/;no;74.9
CB35739;|Lampara Meross Smart Ambient Light LED WiFi|;;|Accesorios : Domótica : Iluminación|;;3;https://tienda.bananacomputer.com/accesorios/domotica/iluminacion/lampara-meross-smart-ambient-light-led-wifi/;no;49.9
